acc,neg_acc,pos_acc,f1,tn,fp,fn,tp
0.8431603773584906,0.9084327920172177,0.643753735803945,0.6693598508390305,4643,468,596,1077
0.8499410377358491,0.924950884086444,0.6245572609208973,0.6751754945756222,4708,382,636,1058
0.8500884433962265,0.9262745098039216,0.6193586698337292,0.6722526587173703,4724,376,641,1043
0.8449292452830188,0.9346199291059473,0.5779601406799532,0.6521164021164021,4746,332,720,986
0.8514150943396226,0.9239109008476247,0.6364699006428989,0.6836158192090395,4687,386,622,1089
0.8525943396226415,0.9383078730904818,0.5917759237187128,0.6651038178164769,4791,315,685,993
0.8440448113207547,0.8916227299355595,0.6975345760673481,0.6867969212551805,4566,555,503,1160
0.8483195754716981,0.9319207376888365,0.5957320687611144,0.6614017769002961,4750,347,682,1005
0.8455188679245284,0.9356621274916124,0.5794991263832265,0.6550362080315998,4741,326,722,995
0.8484669811320755,0.9216490816725283,0.6236494597839136,0.6690276883451386,4717,401,627,1039
0.8477299528301887,0.9205506391347099,0.6297822248381401,0.6744405924992121,4681,404,629,1070
0.8520047169811321,0.9197555205047319,0.6512850467289719,0.6895485466914039,4665,407,597,1115
0.8494988207547169,0.9279936871177747,0.6174927113702624,0.6747371774450461,4704,365,656,1059
0.8468455188679245,0.9163722025912838,0.6372781065088757,0.6746006890072032,4668,426,613,1077
0.8540683962264151,0.9301233118027011,0.622089552238806,0.6779440468445023,4752,357,633,1042
0.8471403301886793,0.9077736440180145,0.6624925462134764,0.6818042344277386,4636,471,566,1111
0.8514150943396226,0.9177599373409047,0.6493738819320215,0.6836158192090396,4687,420,588,1089
0.8468455188679245,0.9256941728588189,0.6053892215568862,0.6605684416857236,4734,380,659,1011
0.8531839622641509,0.9324985325767952,0.6108786610878661,0.6723684210526315,4766,345,651,1022
0.8521521226415094,0.9184549356223176,0.6471652593486128,0.6814861860908226,4708,418,585,1073
