l2_path_len,l2_prox,l2_path_steps,failures,diversity,time
7.072595605731992,7.072595605731992,1.0,0.003,16.63594926129399,239.2016315460205
7.579426281721862,7.579426281721862,1.0,0.003,12.650213285125844,241.6965627670288
6.438164294823863,6.438164294823863,1.0,0.0,13.282358904788174,240.2200117111206
8.031730136633435,8.031730136633435,1.0,0.0,18.18526935460186,238.00959467887878
6.2818254363439525,6.2818254363439525,1.0,0.002,11.994514869971178,241.778906583786
6.649518677862963,6.649518677862963,1.0,0.004,12.824732158476536,453.36992502212524
6.066667558216689,6.066667558216689,1.0,0.001,15.092928006237603,246.4493179321289
8.11131021546828,8.11131021546828,1.0,0.001,14.974420046006578,316.3768606185913
7.206633173242198,7.206633173242198,1.0,0.0,13.022695256774659,260.82284021377563
7.048889877651997,7.048889877651997,1.0,0.005,14.739592520484829,240.25060558319092
7.296782686026962,7.296782686026962,1.0,0.0,12.779781810568297,239.28848600387573
6.909713521941169,6.909713521941169,1.0,0.0,16.66295956287687,293.10894989967346
7.270952174063091,7.270952174063091,1.0,0.0,13.440344333056592,701.3273181915283
6.826539563368629,6.826539563368629,1.0,0.001,13.993775103342962,238.35704350471497
6.7812242965463145,6.7812242965463145,1.0,0.0,18.255064531256036,242.72195601463318
9.694768493244009,9.694768493244009,1.0,0.0,14.217740601132947,237.42145800590515
10.139533341915545,10.139533341915545,1.0,0.0,17.126653764299792,246.07698607444763
6.519623352819021,6.519623352819021,1.0,0.001,14.37379602405917,334.704763174057
9.017904343104323,9.017904343104323,1.0,0.001,9.911460004527067,226.87967586517334
6.72313639542224,6.72313639542224,1.0,0.0,18.81004174097451,787.930671453476
