l2_path_len,l2_prox,l2_path_steps,failures,diversity
4.559743811708012,4.1873346897716175,3.8563421828908555,0.0,12.880276471404455
5.706074997876753,5.255363469952173,5.010934083099031,0.0,17.513443813512264
3.414739657717873,3.1982875280936107,2.695090439276486,0.0,9.168947022127732
4.04511408868256,3.710418925288623,3.3469387755102042,0.0,7.623254618602054
3.441071863713318,3.1804460345279457,2.734965246297975,0.0,6.247889820963041
5.011550604452629,4.634777596940106,4.307783719548426,0.0,14.95744757456037
3.721371661011883,3.421838122080056,3.016431924882629,0.0,6.940747842969484
4.729541202691194,4.3683342481202505,4.023350846468184,0.0,14.069910337230702
3.192711041961572,2.9674967227812146,2.4795474325500435,0.0,5.407962683641383
5.2097352113791695,4.815039092212437,4.50661853188929,0.0,16.184619078690403
5.390313256770853,4.900478633886497,4.717125382262997,0.0,11.771765275431429
4.9081876509494515,4.46700591135226,4.230442853354548,0.0,9.963548694213848
2.9696635606725628,2.7936672234748863,2.2476024411508284,0.0,7.412944623410785
5.68817406150825,5.182884450621121,5.018081073199183,0.0,13.63589164079636
3.808452711568152,3.503847335692341,3.107809847198642,0.0,7.056111313138661
3.0473180559041735,2.8462071905197703,2.331024531024531,0.0,5.178242686947769
4.26338044463155,3.895695621570039,3.56806672624367,0.0,8.640699448670269
4.42447385034939,4.043779906798129,3.733974358974359,0.0,8.483730689702375
3.999094722896477,3.6710435653826914,3.2937430786267994,0.0,8.60577269115892
3.9589749608426565,3.6771201544206735,3.2445030782761655,0.0,11.01808746268963
